drug_name,drug_page,name,content
Lidocaine/epinephrine,https://en.wikipedia.org/wiki/Lidocaine/epinephrine,Lidocaine/epinephrine,"Lidocaine, also known as lignocaine and sold under the brand name Xylocaine among others, is a local anesthetic of the amino amide type. It is also used to treat ventricular tachycardia. When used for local anaesthesia or in nerve blocks, lidocaine typically begins working within several minutes and lasts for half an hour to three hours. Lidocaine mixtures may also be applied directly to the skin or mucous membranes to numb the area. It is often used mixed with a small amount of adrenaline (epinephrine) to prolong its local effects and to decrease bleeding.If injected intravenously, it may cause cerebral effects such as confusion, changes in vision, numbness, tingling, and vomiting. It can cause low blood pressure and an irregular heart rate. There are concerns that injecting it into a joint can cause problems with the cartilage. It appears to be generally safe for use in pregnancy. A lower dose may be required in those with liver problems. It is generally safe to use in those allergic to tetracaine or benzocaine. Lidocaine is an antiarrhythmic medication of the class Ib type. This means it works by blocking sodium channels and thus decreasing the rate of contractions of the heart. When injected near nerves, the nerves cannot conduct signals to or from the brain.Lidocaine was discovered in 1946 and went on sale in 1948. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 337th most commonly prescribed medication in the United States, with more than 700 thousand prescriptions."
lidocaine,https://en.wikipedia.org/wiki/Lidocaine,Lidocaine,"Lidocaine, also known as lignocaine and sold under the brand name Xylocaine among others, is a local anesthetic of the amino amide type. It is also used to treat ventricular tachycardia. When used for local anaesthesia or in nerve blocks, lidocaine typically begins working within several minutes and lasts for half an hour to three hours. Lidocaine mixtures may also be applied directly to the skin or mucous membranes to numb the area. It is often used mixed with a small amount of adrenaline (epinephrine) to prolong its local effects and to decrease bleeding.If injected intravenously, it may cause cerebral effects such as confusion, changes in vision, numbness, tingling, and vomiting. It can cause low blood pressure and an irregular heart rate. There are concerns that injecting it into a joint can cause problems with the cartilage. It appears to be generally safe for use in pregnancy. A lower dose may be required in those with liver problems. It is generally safe to use in those allergic to tetracaine or benzocaine. Lidocaine is an antiarrhythmic medication of the class Ib type. This means it works by blocking sodium channels and thus decreasing the rate of contractions of the heart. When injected near nerves, the nerves cannot conduct signals to or from the brain.Lidocaine was discovered in 1946 and went on sale in 1948. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 337th most commonly prescribed medication in the United States, with more than 700 thousand prescriptions."
epinephrine,https://en.wikipedia.org/wiki/Epinephrine_(medication),Epinephrine_(medication),"Epinephrine, also known as adrenaline, is a medication and hormone. As a medication, it is used to treat several conditions, including anaphylaxis, cardiac arrest, asthma, and superficial bleeding. Inhaled epinephrine may be used to improve the symptoms of croup. It may also be used for asthma when other treatments are not effective. It is given intravenously, by injection into a muscle, by inhalation, or by injection just under the skin.Common side effects include shakiness, anxiety, and sweating. A fast heart rate and high blood pressure may occur. Occasionally, it may result in an abnormal heart rhythm. While the safety of its use during pregnancy and breastfeeding is unclear, the benefits to the mother must be taken into account.Epinephrine is normally produced by both the adrenal glands and a small number of neurons in the brain, where it acts as a neurotransmitter. It plays an essential role in the fight-or-flight response by increasing blood flow to muscles, heart output, pupil dilation, and blood sugar. Epinephrine does this through its effects on alpha and beta receptors. It is found in many animals and some single-celled organisms, but the medication is produced synthetically and is not harvested from animals.Jōkichi Takamine first isolated epinephrine in 1901, and it came into medical use in 1905. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 251st most commonly prescribed medication in the United States, with more than 1 million prescriptions."
Ephedrine,https://en.wikipedia.org/wiki/Ephedrine,Ephedrine,"Ephedrine is a central nervous system (CNS) stimulant that is often used to prevent low blood pressure during anesthesia. It has also been used for asthma, narcolepsy, and obesity but is not the preferred treatment. It is of unclear benefit in nasal congestion. It can be taken by mouth or by injection into a muscle, vein, or just under the skin. Onset with intravenous use is fast, while injection into a muscle can take 20 minutes, and by mouth can take an hour for effect. When given by injection it lasts about an hour and when taken by mouth it can last up to four hours.Common side effects include trouble sleeping, anxiety, headache, hallucinations, high blood pressure, fast heart rate, loss of appetite, and urinary retention. Serious side effects include stroke and heart attack. While likely safe in pregnancy, its use in this population is poorly studied. Use during breastfeeding is not recommended. Ephedrine works by increasing the activity of the α and β adrenergic receptors.Ephedrine was first isolated in 1885 and came into commercial use in 1926. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication.  It can normally be found in plants of the Ephedra genus. Dietary supplements containing ephedrine are illegal in the United States, with the exception of those used in traditional Chinese medicine, where its presence is noted by má huáng."
Atropine,https://en.wikipedia.org/wiki/Atropine,Atropine,"Atropine is a tropane alkaloid and anticholinergic medication used to treat certain types of nerve agent and pesticide poisonings as well as some types of slow heart rate, and to decrease saliva production during surgery. It is typically given intravenously or by injection into a muscle. Eye drops are also available which are used to treat uveitis and early amblyopia. The intravenous solution usually begins working within a minute and lasts half an hour to an hour. Large doses may be required to treat some poisonings.Common side effects include dry mouth, abnormally large pupils, urinary retention, constipation, and a fast heart rate. It should generally not be used in people with closed-angle glaucoma. While there is no evidence that its use during pregnancy causes birth defects, this has not been well studied so sound clinical judgment should be used. It is likely safe during breastfeeding. It is an antimuscarinic (a type of anticholinergic) that works by inhibiting the parasympathetic nervous system.Atropine occurs naturally in a number of plants of the nightshade family, including deadly nightshade (belladonna), Jimson weed, and mandrake. It was first isolated in 1833, It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication."
Midazolam,https://en.wikipedia.org/wiki/Midazolam,Midazolam,"Midazolam, sold under the brand name Versed among others, is a benzodiazepine medication used for anesthesia and procedural sedation, and to treat severe agitation. It induces sleepiness, decreases anxiety, and causes anterograde amnesia.The drug does not cause an individual to become unconscious, merely to be sedated. It is also useful for the treatment of prolonged (lasting over 5 minutes) seizures. Midazolam can be given by mouth, intravenously, by injection into a muscle, by spraying into the nose, or through the cheek. When given intravenously, it typically begins working within five minutes; when injected into a muscle, it can take fifteen minutes to begin working. Effects last between one and six hours.
Side effects can include a decrease in efforts to breathe, low blood pressure, and sleepiness. Tolerance to its effects and withdrawal syndrome may occur following long-term use. Paradoxical effects, such as increased activity, can occur especially in children and older people. There is evidence of risk when used during pregnancy but no evidence of harm with a single dose during breastfeeding. Like other benzodiazepines, it works by increasing the activity of the GABA neurotransmitter in the brain. 
Midazolam was patented in 1974 and came into medical use in 1982. It is on the World Health Organization's List of Essential Medicines. Midazolam is available as a generic medication. In many countries, it is a controlled substance."
Morphine,https://en.wikipedia.org/wiki/Morphine,Morphine,"Morphine is a strong opiate that is found naturally in opium, a dark brown resin produced by drying the latex of opium poppies (Papaver somniferum). It is mainly used as an analgesic (pain medication). There are numerous methods used to administer morphine: oral; sublingual; via inhalation; injection into a muscle, injection under the skin, or injection into the spinal cord area; transdermal; or via rectal suppository. It acts directly on the central nervous system (CNS) to induce analgesia and alter perception and emotional response to pain. Physical and psychological dependence and tolerance may develop with repeated administration. It can be taken for both acute pain and chronic pain and is frequently used for pain from myocardial infarction, kidney stones, and during labor. Its maximum effect is reached after about 20 minutes when administered intravenously and 60 minutes when administered by mouth, while the duration of its effect is 3–7 hours. Long-acting formulations of morphine are available as MS-Contin, Kadian, and other brand names as well as generically.Potentially serious side effects of morphine include decreased respiratory effort, vomiting, nausea, and low blood pressure. Morphine is addictive and prone to abuse. If one's dose is reduced after long-term use, opioid withdrawal symptoms may occur. Common side effects of morphine include drowsiness, vomiting, and constipation. Caution is advised for use of morphine during pregnancy or breast feeding, as it may affect the health of the baby.Morphine was first isolated between 1803 and 1805 by German pharmacist Friedrich Sertürner. This is believed to be the first isolation of a medicinal alkaloid from a plant. Merck began marketing it commercially in 1827. Morphine was more widely used after the invention of the hypodermic syringe in 1853–1855. Sertürner originally named the substance morphium, after the Greek god of dreams, Morpheus, as it has a tendency to cause sleep.The primary source of morphine is isolation from poppy straw of the opium poppy. In 2013, approximately 523 tons of morphine were produced. Approximately 45 tons were used directly for pain, an increase of 400% over the last twenty years. Most use for this purpose was in the developed world. About 70 percent of morphine is used to make other opioids such as hydromorphone, oxymorphone, and heroin. It is a Schedule II drug in the United States, Class A in the United Kingdom, and Schedule I in Canada. It is on the World Health Organization's List of Essential Medicines. Morphine is sold under many brand names. In 2020, it was the 140th most commonly prescribed medication in the United States, with more than 4 million prescriptions. It is available as a generic medication."
Oxygen,https://en.wikipedia.org/wiki/Oxygen_therapy,Oxygen_therapy,"Oxygen therapy, also referred to as supplemental oxygen, is the use of oxygen as medical treatment. Supplemental oxygen can also refer to the use of oxygen enriched air at altitude. Acute indications for therapy include hypoxemia (low blood oxygen levels), carbon monoxide toxicity and cluster headache. It may also be prophylactically given to maintain blood oxygen levels during the induction of anesthesia. Oxygen therapy is often useful in chronic hypoxemia caused by conditions such as severe COPD or cystic fibrosis. Oxygen can be delivered via nasal cannula, face mask, or endotracheal intubation  at normal atmospheric pressure, or in a hyperbaric chamber. It can also be given through bypassing the airway, such as in ECMO therapy.
Oxygen is required for normal cellular metabolism. However, excessively high concentrations can result in oxygen toxicity, leading to lung damage and respiratory failure. Higher oxygen concentrations can also increase the risk of airway fires, particularly while smoking. Oxygen therapy can also dry out the nasal mucosa without humidification. In most conditions, an oxygen saturation of 94–96% is adequate, while in those at risk of carbon dioxide retention, saturations of 88–92% are preferred. In cases of carbon monoxide toxicity or cardiac arrest, saturations should be as high as possible. While air is typically 21% oxygen by volume, oxygen therapy can increase O2 content of air up to 100%.The medical use of oxygen first became common around 1917, and is the most common hospital treatment in the developed world. It is currently on the World Health Organization's List of Essential Medicines. Home oxygen can be provided either by oxygen tanks or oxygen concentrator."
skeletal model,https://en.wikipedia.org/wiki/Skeletal_model,Skeletal_model,"The skeletal formula, line-angle formula, or shorthand formula of an organic compound is a type of molecular structural formula that serves as a shorthand representation of a molecule's bonding and some details of its molecular geometry. A skeletal formula shows the skeletal structure or skeleton of a molecule, which is composed of the skeletal atoms that make up the molecule. It is represented in two dimensions, as on a piece of paper. It employs certain conventions to represent carbon and hydrogen atoms, which are the most common in organic chemistry.
An early form of this representation was first developed by organic chemist August Kekulé, while the modern form is closely related to and influenced by the Lewis structure of molecules and their valence electrons. Hence they are sometimes termed Kekulé structures or Lewis–Kekulé structures.  Skeletal formulae have become ubiquitous in organic chemistry, partly because they are relatively quick and simple to draw, and also because the curved arrow notation used for discussions of reaction mechanisms and electron delocalization can be readily superimposed.  
Several other ways of depicting chemical structures are also commonly used in organic chemistry (though less frequently than skeletal formulae).  For example, conformational structures look similar to skeletal formulae and are used to depict the approximate positions of atoms in 3D space, as a perspective drawing.  Other types of representation, such as Newman projection, Haworth projection or Fischer projection, also look somewhat similar to skeletal formulae. However, there are slight differences in the conventions used, and the reader needs to be aware of them in order to understand the structural details encoded in the depiction. While skeletal and conformational structures are also used in organometallic and inorganic chemistry, the conventions employed also differ somewhat."
Acetylsalicylic acid,https://en.wikipedia.org/wiki/Acetylsalicylic_acid,Acetylsalicylic_acid,"Aspirin, also known as acetylsalicylic acid (ASA), is a nonsteroidal anti-inflammatory drug (NSAID) used to reduce pain, fever, and/or inflammation, and as an antithrombotic. Specific inflammatory conditions which aspirin is used to treat include Kawasaki disease, pericarditis, and rheumatic fever.Aspirin is also used long-term to help prevent further heart attacks, ischaemic strokes, and blood clots in people at high risk. For pain or fever, effects typically begin within 30 minutes. Aspirin works similarly to other NSAIDs but also suppresses the normal functioning of platelets.One common adverse effect is an upset stomach. More significant side effects include stomach ulcers, stomach bleeding, and worsening asthma. Bleeding risk is greater among those who are older, drink alcohol, take other NSAIDs, or are on other blood thinners. Aspirin is not recommended in the last part of pregnancy. It is not generally recommended in children with infections because of the risk of Reye syndrome. High doses may result in ringing in the ears.A precursor to aspirin found in the bark of the willow tree (genus Salix) has been used for its health effects for at least 2,400 years. In 1853, chemist Charles Frédéric Gerhardt treated the medicine sodium salicylate with acetyl chloride to produce acetylsalicylic acid for the first time. Over the next 50 years, other chemists established the chemical structure and devised more efficient production methods.: 69–75 Aspirin is available without medical prescription as a proprietary or generic medication in most jurisdictions. It is one of the most widely used medications globally, with an estimated 40,000 tonnes (44,000 tons) (50 to 120 billion pills) consumed each year, and is on the World Health Organization's List of Essential Medicines. In 2020, it was the 36th most commonly prescribed medication in the United States, with more than 17 million prescriptions."
Ibuprofen,https://en.wikipedia.org/wiki/Ibuprofen,Ibuprofen,"Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID) that is used to relieve pain, fever, and inflammation. This includes painful menstrual periods, migraines, and rheumatoid arthritis. It may also be used to close a patent ductus arteriosus in a premature baby. It can be used orally (by mouth) or intravenously. It typically begins working within an hour.Common side effects include heartburn and a rash. Compared to other NSAIDs, it may have other side effects such as gastrointestinal bleeding. It increases the risk of heart failure, kidney failure, and liver failure. At low doses, it does not appear to increase the risk of heart attack; however, at higher doses it may. Ibuprofen can also worsen asthma. While its safety in early pregnancy is unclear, it appears to be harmful in later pregnancy, so it is not recommended during that period.   Like other NSAIDs, it works by inhibiting the production of prostaglandins by decreasing the activity of the enzyme cyclooxygenase (COX). Ibuprofen is a weaker anti-inflammatory agent than other NSAIDs.Ibuprofen was discovered in 1961 by Stewart Adams and John Nicholson while working at Boots UK Limited and initially marketed as Brufen. It is available under a number of brand names, including Nurofen, Advil, and Motrin. Ibuprofen was first marketed in 1969 in the United Kingdom and in 1974 in the United States. It is on the World Health Organization's List of Essential Medicines. It is available as a generic medication. In 2020, it was the 38th-most commonly prescribed medication in the United States, with more than 16 million prescriptions."
Paracetamol,https://en.wikipedia.org/wiki/Paracetamol,Paracetamol,"Paracetamol (acetaminophen or para-hydroxyacetanilide) is a non-opioid analgesic and antipyretic agent used to treat fever and mild to moderate pain. It is a widely used over the counter medication and common brand names include Tylenol and Panadol.
At a standard dose, paracetamol only slightly decreases body temperature; it is inferior to ibuprofen in that respect, and the benefits of its use for fever are unclear, particularly in the context of fever of viral origins. Paracetamol may relieve pain in acute mild migraine but only slightly in episodic tension headache. However, the aspirin/paracetamol/caffeine combination helps with both conditions where the pain is mild and is recommended as a first-line treatment for them. Paracetamol is effective for post-surgical pain, but it is inferior to ibuprofen. The paracetamol/ibuprofen combination provides further increase in potency and is superior to either drug alone. The pain relief paracetamol provides in osteoarthritis is small and clinically insignificant. The evidence in its favor for the use in low back pain, cancer pain, and neuropathic pain is insufficient.In the short term, paracetamol is safe and effective when used as directed. Short term adverse effects are uncommon and similar to ibuprofen, but paracetamol is typically safer than non-steroidal anti-inflammatory drugs (NSAID) for long term use. Paracetamol is also often used in patients who cannot tolerate NSAIDs like ibuprofen. Chronic consumption of paracetamol may result in a drop in hemoglobin level, indicating possible gastrointestinal bleeding, and abnormal liver function tests. Some epidemiological studies have linked paracetamol to cardiovascular, renal, and gastrointestinal diseases, but are largely due to confounding biases and of insignificant relevance with short-term use of paracetamol. Paracetamol may slightly increase systolic blood pressure in hypertensive patients at a dose of 4 grams a day. Elevated frequency of asthma and developmental and reproductive disorders is observed in the offspring of women with prolonged use of paracetamol during pregnancy, although whether paracetamol is the true cause of this increase is unclear. Some studies suggest that there is evidence for an association between paracetamol during pregnancy and autism spectrum disorder and attention deficit hyperactivity disorder, while making clear further research is required to establish any causal link, which has prompted some calls to limit its use in pregnancy to the lowest effective dosage for the shortest possible time.The recommended maximum daily dose for an adult is three to four grams. Higher doses may lead to toxicity, including liver failure. Paracetamol poisoning is the foremost cause of acute liver failure in the Western world, and accounts for most drug overdoses in the United States, the United Kingdom, Australia, and New Zealand.Paracetamol was first made in 1878 by Harmon Northrop Morse or possibly 1852 by Charles Frédéric Gerhardt. It is the most commonly used medication for pain and fever in both the United States and Europe. It is on the World Health Organization's List of Essential Medicines. Paracetamol is available as a generic medication, with brand names including Tylenol and Panadol among others. In 2020, it was the 118th most commonly prescribed medication in the United States, with more than 5 million prescriptions."
Codeine,https://en.wikipedia.org/wiki/Codeine,Codeine,"Codeine is an opiate and prodrug of morphine mainly used to treat pain, coughing, and diarrhea. It is also commonly used as a recreational drug. It is found naturally in the sap of the opium poppy, Papaver somniferum. It is typically used to treat mild to moderate degrees of pain. Greater benefit may occur when combined with paracetamol (acetaminophen) or a nonsteroidal anti-inflammatory drug (NSAID) such as aspirin or ibuprofen. Evidence does not support its use for acute cough suppression in children or adults. In Europe, it is not recommended as a cough medicine in those under 12 years of age. It is generally taken by mouth. It typically starts working after half an hour, with maximum effect at two hours. Its effects last for about four to six hours. Codeine exhibits abuse potential similar to other opioid medications, including a risk of habituation and overdose.Common side effects include vomiting, constipation, itchiness, lightheadedness, and drowsiness. Serious side effects may include breathing difficulties and addiction. Whether its use in pregnancy is safe is unclear. Care should be used during breastfeeding, as it may result in opiate toxicity in the baby. Its use as of 2016 is not recommended in children. Codeine works following being broken down by the liver into morphine; how quickly this occurs depends on a person's genetics.Codeine was discovered in 1832 by Pierre Jean Robiquet. In 2013, about 361,000 kg (795,000 lb) of codeine were produced while 249,000 kg (549,000 lb) were used, which made it the most commonly taken opiate. It is on the World Health Organization's List of Essential Medicines. Codeine occurs naturally and makes up about 2% of opium."
