drug_name,drug_page,name,content,len
Atoltivimab/maftivimab/odesivimab,https://en.wikipedia.org/wiki/Atoltivimab/maftivimab/odesivimab,Atoltivimab/maftivimab/odesivimab,"Atoltivimab/maftivimab/odesivimab, sold under the brand name Inmazeb, is a fixed-dose combination of three monoclonal antibodies for the treatment of Zaire ebolavirus (Ebola virus). It contains atoltivimab, maftivimab, and odesivimab-ebgn and was developed by Regeneron Pharmaceuticals.The most common side effects include fever, chills, tachycardia (fast heart rate), tachypnea (fast breathing), and vomiting; however,",52
Nifedipine,https://en.wikipedia.org/wiki/Nifedipine,Nifedipine,"Nifedipine, sold under the brand names Adalat and Procardia among others, is a calcium channel blocker medication used to manage angina, high blood pressure, Raynaud's phenomenon, and premature labor. It is one of the treatments of choice for Prinzmetal angina. It may be used to treat severe high blood pressure in pregnancy.",52
Ergocalciferol,https://en.wikipedia.org/wiki/Ergocalciferol,Ergocalciferol,"Ergocalciferol, also known as vitamin D2 and nonspecifically calciferol, is a type of vitamin D found in food and used as a dietary supplement. As a supplement it is used to prevent and treat vitamin D deficiency. This includes vitamin D deficiency due to poor absorption by the intestines or liver disease.",52
Senna,https://en.wikipedia.org/wiki/Senna_glycosides,Senna_glycosides,"Senna glycoside, also known as sennoside or senna, is a medication used to treat constipation and empty the large intestine before surgery. The medication is taken by mouth or via the rectum. It typically begins working in around 30 minutes when given by rectum and within twelve hours when given by mouth.",52
Deferasirox,https://en.wikipedia.org/wiki/Deferasirox,Deferasirox,"Deferasirox, sold under the brand name Exjade & Asunra (in injectable form) & Oleptiss (Tablet formulation) both by Novartis among others, is an oral iron chelator. Its main use is to reduce chronic iron overload in patients who are receiving long-term blood transfusions for conditions such as beta-thalassemia and other chronic anemias.",52
tazobactam,https://en.wikipedia.org/wiki/Tazobactam,Tazobactam,"Tazobactam is a pharmaceutical drug that inhibits the action of bacterial β-lactamases, especially those belonging to the SHV-1 and TEM groups. It is commonly used as its sodium salt, tazobactam sodium. Tazobactam is combined with the extended spectrum β-lactam antibiotic piperacillin in the drug piperacillin/tazobactam, used in infections due to Pseudomonas aeruginosa.",52
Colistin,https://en.wikipedia.org/wiki/Colistin,Colistin,"Colistin, also known as polymyxin E, is an antibiotic medication used as a last-resort treatment for multidrug-resistant Gram-negative infections including pneumonia. These may involve bacteria such as Pseudomonas aeruginosa, Klebsiella pneumoniae, or Acinetobacter. It comes in two forms: colistimethate sodium can be injected into a vein, injected into a muscle, or inhaled,",52
Dextran 70,https://en.wikipedia.org/wiki/Dextran_70,Dextran_70,"Dextran 70 is a type of fluid given by injection into a vein to expand blood volume. Specifically it is used for shock such as that caused by bleeding or burns when blood transfusions are not quickly available. However, it does not carry oxygen.Common side effects include vomiting, fever, and joint pains.",52
Sulfadoxine/pyrimethamine,https://en.wikipedia.org/wiki/Sulfadoxine/pyrimethamine,Sulfadoxine/pyrimethamine,"Sulfadoxine/pyrimethamine, sold under the brand name Fansidar, is a combination medication used to treat malaria. It contains sulfadoxine (a sulfonamide) and pyrimethamine (an antiprotozoal). For the treatment of malaria it is typically used along with other antimalarial medication such as artesunate. In areas of Africa with moderate to high rates of malaria,",52
Ranitidine,https://en.wikipedia.org/wiki/Ranitidine,Ranitidine,"Ranitidine, sold under the brand name Zantac among others, is a medication used to decrease stomach acid production. It is commonly used in treatment of peptic ulcer disease, gastroesophageal reflux disease, and Zollinger–Ellison syndrome. It can be given by mouth, injection into a muscle, or injection into a vein. In September 2019,",52
Lactulose,https://en.wikipedia.org/wiki/Lactulose,Lactulose,"Lactulose is a non-absorbable sugar used in the treatment of constipation and hepatic encephalopathy. It is administered orally for constipation, and either orally or rectally for hepatic encephalopathy. It generally begins working after 8–12 hours, but may take up to 2 days to improve constipation.Common side effects include abdominal bloating and cramps.",52
Rho(D) immune globulin,https://en.wikipedia.org/wiki/Rho(D)_immune_globulin,Rho(D)_immune_globulin,Rho(D) immune globulin (RhIG) is a medication used to prevent RhD isoimmunization in mothers who are RhD negative and to treat idiopathic thrombocytopenic purpura (ITP) in people who are Rh positive. It is often given both during and following pregnancy. It may also be used when RhD-negative people are given RhD-positive blood.,52
Acamprosate calcium,https://en.wikipedia.org/wiki/Acamprosate_calcium,Acamprosate_calcium,"Acamprosate, sold under the brand name Campral, is a medication used along with counseling to treat alcohol use disorder.Acamprosate is thought to stabilize chemical signaling in the brain that would otherwise be disrupted by alcohol withdrawal. When used alone, acamprosate is not an effective therapy for alcohol use disorder in most individuals;",52
Arsenic trioxide,https://en.wikipedia.org/wiki/Arsenic_trioxide,Arsenic_trioxide,"Arsenic trioxide, sold under the brand name Trisenox among others, is an inorganic compound with the formula As2O3. As an industrial chemical, its major uses include the manufacture of wood preservatives, pesticides, and glass. It is also used as a medication to treat a type of cancer known as acute promyelocytic leukemia.",52
Poliomyelitis vaccine,https://en.wikipedia.org/wiki/Poliomyelitis_vaccine,Poliomyelitis_vaccine,"Polio vaccines are vaccines used to prevent poliomyelitis (polio). Two types are used: an inactivated poliovirus given by injection (IPV) and a weakened poliovirus given by mouth (OPV). The World Health Organization (WHO) recommends all children be fully vaccinated against polio. The two vaccines have eliminated polio from most of the world,",52
Docusate sodium,https://en.wikipedia.org/wiki/Docusate_sodium,Docusate_sodium,"Docusate is the common chemical and pharmaceutical name of the anion bis(2-ethylhexyl) sulfosuccinate, also commonly called dioctyl sulfosuccinate (DOSS). It is on the World Health Organization's List of Essential Medicines.Salts of this anion, especially docusate sodium, are widely used in medicine as laxatives and as stool softeners, by mouth or rectally. In 2020,",53
Ledipasvir/sofosbuvir,https://en.wikipedia.org/wiki/Ledipasvir/sofosbuvir,Ledipasvir/sofosbuvir,"Ledipasvir/sofosbuvir, sold under the trade name Harvoni among others, is a medication used to treat hepatitis C. It is a fixed-dose combination of ledipasvir and sofosbuvir. Cure rates are 94% to 99% in people infected with hepatitis C virus (HCV) genotype 1. Some evidence also supports use in HCV genotype 3 and 4.",53
Biperiden,https://en.wikipedia.org/wiki/Biperiden,Biperiden,"Biperiden, sold under the brand name Akineton among others, is a medication used to treat Parkinson disease, certain drug-induced movement disorders and Touret Syndrome. It is not recommended for tardive dyskinesias. It is taken by mouth, injection into a vein, or muscle.Common side effects include blurred vision, dry mouth, sleepiness, constipation, and confusion.",53
Quetiapine,https://en.wikipedia.org/wiki/Quetiapine,Quetiapine,"Quetiapine, sold under the brand name Seroquel among others, is an atypical antipsychotic medication used for the treatment of schizophrenia, bipolar disorder, and major depressive disorder. Despite being widely used as a sleep aid due to its sedating effect, the benefits of such use do not appear to generally outweigh the side effects.",53
Albendazole,https://en.wikipedia.org/wiki/Albendazole,Albendazole,"Albendazole is a broad-spectrum anthelmintic and antiprotozoal agent of the benzimidazole type. It is used for the treatment of a variety of intestinal parasite infections, including ascariasis, pinworm infection, hookworm infection, trichuriasis, strongyloidiasis, taeniasis, clonorchiasis, opisthorchiasis, cutaneous larva migrans, giardiasis, and gnathostomiasis, among other diseases.Common side effects include nausea, abdominal pain, and headache.",53
Nilotinib,https://en.wikipedia.org/wiki/Nilotinib,Nilotinib,"Nilotinib, sold under the brand name Tasigna marketed worldwide by Novartis, is a medication used to treat chronic myelogenous leukemia (CML) which has the Philadelphia chromosome. It may be used both in initial cases of chronic phase CML as well as in accelerated and chronic phase CML that has not responded to imatinib.",53
Vancomycin,https://en.wikipedia.org/wiki/Vancomycin,Vancomycin,"Vancomycin is a glycopeptide antibiotic medication used to treat a number of bacterial infections. It is used intravenously (injection into a vein) as a treatment for complicated skin infections, bloodstream infections, endocarditis, bone and joint infections, and meningitis caused by methicillin-resistant Staphylococcus aureus. Blood levels may be measured to determine the correct dose.",53
Telmisartan/amlodipine,https://en.wikipedia.org/wiki/Telmisartan/amlodipine,Telmisartan/amlodipine,"Telmisartan/amlodipine, sold under the brand name Twynsta among others, is a fixed-dose combination medication used to treat high blood pressure. It is a combination of telmisartan, an angiotensin II receptor antagonist, and amlodipine, as the besilate, a calcium channel blocker. It is taken by mouth.Common side effects include dizziness, swelling, and back pain.",53
Ethionamide,https://en.wikipedia.org/wiki/Ethionamide,Ethionamide,"Ethionamide is an antibiotic used to treat tuberculosis. Specifically it is used, along with other antituberculosis medications, to treat active multidrug-resistant tuberculosis. It is no longer recommended for leprosy. It is taken by mouth.Ethionamide has a high rate of side effects. Common side effects include nausea, diarrhea, abdominal pain, and loss of appetite.",53
Levothyroxine,https://en.wikipedia.org/wiki/Levothyroxine,Levothyroxine,"Levothyroxine, also known as L-thyroxine, is a synthetic form of the thyroid hormone thyroxine (T4). It is used to treat thyroid hormone deficiency (hypothyroidism), including a severe form known as myxedema coma. It may also be used to treat and prevent certain types of thyroid tumors. It is not indicated for weight loss.",53
Gliclazide,https://en.wikipedia.org/wiki/Gliclazide,Gliclazide,"Gliclazide, sold under the brand name Diamicron among others, is a sulfonylurea type of anti-diabetic medication, used to treat type 2 diabetes. It is used when dietary changes, exercise, and weight loss are not enough. It is taken by mouth.Side effect may include low blood sugar, vomiting, abdominal pain, rash, and liver problems.",53
Docetaxel,https://en.wikipedia.org/wiki/Docetaxel,Docetaxel,"Docetaxel (DTX or DXL), sold under the brand name Taxotere among others, is a chemotherapy medication used to treat a number of types of cancer. This includes breast cancer, head and neck cancer, stomach cancer, prostate cancer and non-small-cell lung cancer. It may be used by itself or along with other chemotherapy medication.",53
Erythropoiesis-stimulating agents,https://en.wikipedia.org/wiki/Erythropoiesis-stimulating_agent,Erythropoiesis-stimulating_agent,"Erythropoiesis-stimulating agents (ESA) are medications which stimulate the bone marrow to make red blood cells. They are used to treat anemia due to end stage kidney disease, chemotherapy, major surgery, or certain treatments in HIV/AIDS. In these situations they decrease the need for blood transfusions. The different agents are more or less equivalent.",53
Ipratropium bromide,https://en.wikipedia.org/wiki/Ipratropium_bromide,Ipratropium_bromide,"Ipratropium bromide, sold under the trade name Atrovent among others, is a type of anticholinergic (SAMA: short acting muscarinic antagonist) medication which opens up the medium and large airways in the lungs. It is used to treat the symptoms of chronic obstructive pulmonary disease and asthma. It is used by inhaler or nebulizer.",53
Emtricitabine/tenofovir,https://en.wikipedia.org/wiki/Emtricitabine/tenofovir,Emtricitabine/tenofovir,"Emtricitabine/tenofovir, sold under the brand name Truvada among others, is a fixed-dose combination antiretroviral medication used to treat and prevent HIV/AIDS. It contains the antiretroviral medications emtricitabine and tenofovir disoproxil. For treatment, it must be used in combination with other antiretroviral medications. For prevention before exposure, in those who are at high risk,",53
Tiotropium,https://en.wikipedia.org/wiki/Tiotropium,Tiotropium,"Tiotropium bromide, sold under the brand name Spiriva among others, is a long-acting bronchodilator (LAMA: long acting muscarinic antagonist) used in the management of chronic obstructive pulmonary disease (COPD) and asthma. Specifically it is used during periods of breathing difficulty to prevent them from getting worse, rather than to prevent them from happening.",53
Fluconazole,https://en.wikipedia.org/wiki/Fluconazole,Fluconazole,"Fluconazole is an antifungal medication used for a number of fungal infections. This includes candidiasis, blastomycosis, coccidioidomycosis, cryptococcosis, histoplasmosis, dermatophytosis, and tinea versicolor. It is also used to prevent candidiasis in those who are at high risk such as following organ transplantation, low birth weight babies, and those with low blood neutrophil counts.",53
Timolol,https://en.wikipedia.org/wiki/Timolol,Timolol,"Timolol is a beta blocker medication used either by mouth or as eye drops. As eye drops it is used to treat increased pressure inside the eye such as in ocular hypertension and glaucoma. By mouth it is used for high blood pressure, chest pain due to insufficient blood flow to the heart,",53
Cefiderocol,https://en.wikipedia.org/wiki/Cefiderocol,Cefiderocol,"Cefiderocol, sold under the brand name Fetroja among others, is an antibiotic used to treat complicated urinary tract infections when no other options are available. It is indicated for the treatment of multi-drug-resistant Gram-negative bacteria including Pseudomonas aeruginosa. It is given by injection into a vein.Common side effects include diarrhea, infusion site reactions,",53
Chloroquine,https://en.wikipedia.org/wiki/Chloroquine,Chloroquine,"Chloroquine is a medication primarily used to prevent and treat malaria in areas where malaria remains sensitive to its effects. Certain types of malaria, resistant strains, and complicated cases typically require different or additional medication. Chloroquine is also occasionally used for amebiasis that is occurring outside the intestines, rheumatoid arthritis, and lupus erythematosus.",53
Losartan,https://en.wikipedia.org/wiki/Losartan,Losartan,"Losartan, sold under the brand name Cozaar among others, is a medication used to treat high blood pressure (hypertension). It is in the angiotensin receptor blocker (ARB) family of medication, and is considered protective of the kidneys. Besides hypertension, it is also used in diabetic kidney disease, heart failure, and left ventricular enlargement.",53
Cryoprecipitate,https://en.wikipedia.org/wiki/Cryoprecipitate,Cryoprecipitate,"Cryoprecipitate, also called cryo for short, is a frozen blood product prepared from blood plasma. To create cryoprecipitate, fresh frozen plasma thawed to 1–6 °C is then centrifuged and the precipitate is collected. The precipitate is resuspended in a small amount of residual plasma (generally 10–15 mL) and is then re-frozen for storage.",53
Warfarin,https://en.wikipedia.org/wiki/Warfarin,Warfarin,"Warfarin is an anticoagulant used as a medication under several brand names including Coumadin. While the drug is described as a ""blood thinner"", it does not reduce viscosity but rather inhibits coagulation. Accordingly, it is commonly used to prevent blood clots in the circulatory system such as deep vein thrombosis and pulmonary embolism,",53
Rituximab,https://en.wikipedia.org/wiki/Rituximab,Rituximab,"Rituximab, sold under the brand name Rituxan among others, is a monoclonal antibody medication used to treat certain autoimmune diseases and types of cancer. It is used for non-Hodgkin lymphoma, chronic lymphocytic leukemia (in non-geriatric patients), rheumatoid arthritis, granulomatosis with polyangiitis, idiopathic thrombocytopenic purpura, pemphigus vulgaris, myasthenia gravis and Epstein–Barr virus-positive mucocutaneous ulcers.",53
Riboflavin,https://en.wikipedia.org/wiki/Riboflavin,Riboflavin,"Riboflavin, also known as vitamin B2, is a vitamin found in food and sold as a dietary supplement. It is essential to the formation of two major coenzymes, flavin mononucleotide and flavin adenine dinucleotide. These coenzymes are involved in energy metabolism, cellular respiration, and antibody production, as well as normal growth and development.",53
Griseofulvin,https://en.wikipedia.org/wiki/Griseofulvin,Griseofulvin,"Griseofulvin is an antifungal medication used to treat a number of types of dermatophytoses (ringworm). This includes fungal infections of the nails and scalp, as well as the skin when antifungal creams have not worked. It is taken by mouth.Common side effects include allergic reactions, nausea, diarrhea, headache, trouble sleeping, and feeling tired.",53
sulfadoxine,https://en.wikipedia.org/wiki/Sulfadoxine,Sulfadoxine,"Sulfadoxine (also spelled sulphadoxine) is an ultra-long-lasting sulfonamide used in combination with pyrimethamine to treat malaria.It is also used to prevent malaria but due to high levels of sulphadoxine-pyrimethamine resistance, this use has become less common.It is also used, usually in combination with other drugs, to treat or prevent various infections in livestock.",53
Fomepizole,https://en.wikipedia.org/wiki/Fomepizole,Fomepizole,"Fomepizole, also known as 4-methylpyrazole, is a medication used to treat methanol and ethylene glycol poisoning. It may be used alone or together with hemodialysis. It is given by injection into a vein.Common side effects include headache, nausea, sleepiness, and unsteadiness. It is unclear if use during pregnancy causes risk to a fetus.",53
Haloperidol,https://en.wikipedia.org/wiki/Haloperidol,Haloperidol,"Haloperidol, sold under the brand name Haldol among others, is a typical antipsychotic medication. Haloperidol is used in the treatment of schizophrenia, tics in Tourette syndrome, mania in bipolar disorder, delirium, agitation, acute psychosis, and hallucinations from alcohol withdrawal. It may be used by mouth or injection into a muscle or a vein.",53
levonorgestrel,https://en.wikipedia.org/wiki/Levonorgestrel,Levonorgestrel,"Levonorgestrel is a hormonal medication which is used in a number of birth control methods. It is combined with an estrogen to make combination birth control pills. As an emergency birth control, sold under the brand names Plan B One-Step and Julie, among others, it is useful within 72 hours of unprotected sex.",53
Dopamine,https://en.wikipedia.org/wiki/Dopamine_(medication),Dopamine_(medication),"Dopamine, sold under the brandname Intropin among others, is a medication most commonly used in the treatment of very low blood pressure, a slow heart rate that is causing symptoms, and, if epinephrine is not available, cardiac arrest. In newborn babies it continues to be the preferred treatment for very low blood pressure.",53
lumefantrine,https://en.wikipedia.org/wiki/Lumefantrine,Lumefantrine,"Lumefantrine (or benflumetol) is an antimalarial drug. It is only used in combination with artemether. The term ""co-artemether"" is sometimes used to describe this combination. Lumefantrine has a much longer half-life compared to artemether, and is therefore thought to clear any residual parasites that remain after combination treatment.Lumefantrine, along with pyronaridine and naphtoquine,",53
Fluorouracil,https://en.wikipedia.org/wiki/Fluorouracil,Fluorouracil,"Fluorouracil (5-FU, 5-fluorouracil), sold under the brand name Adrucil among others, is a cytotoxic chemotherapy medication used to treat cancer. By intravenous injection it is used for treatment of colorectal cancer, oesophageal cancer, stomach cancer, pancreatic cancer, breast cancer, and cervical cancer. As a cream it is used for actinic keratosis, basal cell carcinoma,",54
Letrozole,https://en.wikipedia.org/wiki/Letrozole,Letrozole,"Letrozole, sold under the brand name Femara among others, is an aromatase inhibitor medication that is used in the treatment of breast cancer.It was patented in 1986 and approved for medical use in 1996. In 2020, it was the 257th most commonly prescribed medication in the United States, with more than 1 million prescriptions.",54
Cefalexin,https://en.wikipedia.org/wiki/Cefalexin,Cefalexin,"Cefalexin, also spelled cephalexin, is an antibiotic that can treat a number of bacterial infections. It kills gram-positive and some gram-negative bacteria by disrupting the growth of the bacterial cell wall. Cefalexin is a β-lactam antibiotic within the class of first-generation cephalosporins. It works similarly to other agents within this class, including intravenous cefazolin,",54
mefloquine,https://en.wikipedia.org/wiki/Mefloquine,Mefloquine,"Mefloquine, sold under the brand name Lariam among others, is a medication used to prevent or treat malaria. When used for prevention it is typically started before potential exposure and continued for several weeks after potential exposure. It can be used to treat mild or moderate malaria but is not recommended for severe malaria.",54
Pancreatic enzymes,https://en.wikipedia.org/wiki/Pancreatic_enzymes_(medication),Pancreatic_enzymes_(medication),"Pancreatic enzymes, also known as pancreases or pancrelipase and pancreatin, are commercial mixtures of amylase, lipase, and protease. They are used to treat malabsorption syndrome due to certain pancreatic problems. These pancreatic problems may be due to cystic fibrosis, surgical removal of the pancreas, long term pancreatitis, pancreatic cancer, or MODY 5, among others.",54
Efavirenz,https://en.wikipedia.org/wiki/Efavirenz,Efavirenz,"Efavirenz (EFV), sold under the brand names Sustiva among others, is an antiretroviral medication used to treat and prevent HIV/AIDS. It is generally recommended for use with other antiretrovirals. It may be used for prevention after a needlestick injury or other potential exposure. It is sold both by itself and in combination as efavirenz/emtricitabine/tenofovir.",54
Suramin sodium,https://en.wikipedia.org/wiki/Suramin_sodium,Suramin_sodium,"Suramin is a medication used to treat African sleeping sickness and river blindness. It is the treatment of choice for sleeping sickness without central nervous system involvement. It is given by injection into a vein.Suramin causes a fair number of side effects. Common side effects include nausea, vomiting, diarrhea, headache, skin tingling, and weakness.",54
Fluphenazine,https://en.wikipedia.org/wiki/Fluphenazine,Fluphenazine,"Fluphenazine, sold under the brand name Prolixin among others, is a high-potency typical antipsychotic medication. It is used in the treatment of chronic psychoses such as schizophrenia, and appears to be about equal in effectiveness to low-potency antipsychotics like chlorpromazine. It is given by mouth, injection into a muscle, or just under the skin.",54
Mumps vaccine,https://en.wikipedia.org/wiki/Mumps_vaccine,Mumps_vaccine,Mumps vaccines are vaccines which prevent mumps. When given to a majority of the population they decrease complications at the population level. Effectiveness when 90% of a population is vaccinated is estimated at 85%. Two doses are required for long term prevention. The initial dose is recommended between 12 and 18 months of age.,54
Bisoprolol,https://en.wikipedia.org/wiki/Bisoprolol,Bisoprolol,"Bisoprolol, sold under the brand name Zebeta among others, is a beta blocker medication used for heart diseases. This includes tachyarrhythmias, high blood pressure, chest pain from not enough blood flow to the heart, and heart failure. It is taken by mouth.Common side effects include headache, feeling tired, diarrhea, and swelling in the legs.",54
Silver diamine fluoride,https://en.wikipedia.org/wiki/Silver_diamine_fluoride,Silver_diamine_fluoride,"Silver diammine fluoride (SDF), also known as silver diamine fluoride in most of the dental literature, (although this is a chemical misnomer) is a topical medication used to treat and prevent dental caries (tooth decay) and relieve dentinal hypersensitivity. It is a colorless (most products) or blue-tinted (Advantage Arrest), odourless liquid composed of silver,",54
Chloroxylenol,https://en.wikipedia.org/wiki/Chloroxylenol,Chloroxylenol,"Chloroxylenol, also known as para-chloro-meta-xylenol (PCMX), is a chlorine substituted phenol with an white to off white appearance and a phenolic odor. PCMX is used in antiseptic and disinfectant formulations for skin disinfection, and together with alcohol for cleaning surgical instruments. It is also used within a number of household disinfectants and wound cleaners.",54
Phenoxymethylpenicillin,https://en.wikipedia.org/wiki/Phenoxymethylpenicillin,Phenoxymethylpenicillin,"Phenoxymethylpenicillin, also known as penicillin V (PcV) and penicillin VK, is an antibiotic useful for the treatment of a number of bacterial infections. Specifically it is used for the treatment of strep throat, otitis media, and cellulitis. It is also used to prevent rheumatic fever and to prevent infections following removal of the spleen.",54
Barium sulfate,https://en.wikipedia.org/wiki/Barium_sulfate_suspension,Barium_sulfate_suspension,"Barium sulfate suspension, often simply called barium, is a contrast agent used during X-rays. Specifically it is used to improve visualization of the gastrointestinal tract (esophagus, stomach, intestines) on plain X-ray or computed tomography. It is taken by mouth or used rectally.Side effects include constipation, diarrhea, appendicitis, and if inhaled inflammation of the lungs.",54
Antivenom immunoglobulin,https://en.wikipedia.org/wiki/Antivenom_immunoglobulin,Antivenom_immunoglobulin,"Antivenom, also known as antivenin, venom antiserum, and antivenom immunoglobulin, is a specific treatment for envenomation. It is composed of antibodies and used to treat certain venomous bites and stings. Antivenoms are recommended only if there is significant toxicity or a high risk of toxicity. The specific antivenom needed depends on the species involved.",54
Enoxaparin,https://en.wikipedia.org/wiki/Enoxaparin,Enoxaparin,"Enoxaparin sodium, sold under the brand name Lovenox among others, is an anticoagulant medication (blood thinner). It is used to treat and prevent deep vein thrombosis (DVT) and pulmonary embolism (PE) including during pregnancy and following certain types of surgery. It is also used in those with acute coronary syndrome (ACS) and heart attacks.",54
Amphotericin B,https://en.wikipedia.org/wiki/Amphotericin_B,Amphotericin_B,"Amphotericin B is an antifungal medication used for serious fungal infections and leishmaniasis. The fungal infections it is used to treat include mucormycosis, aspergillosis, blastomycosis, candidiasis, coccidioidomycosis, and cryptococcosis. For certain infections it is given with flucytosine. It is typically given intravenously (injection into a vein).Common side effects include a reaction with fever, chills,",54
Morphine,https://en.wikipedia.org/wiki/Morphine,Morphine,"Morphine is a strong opiate that is found naturally in opium, a dark brown resin produced by drying the latex of opium poppies (Papaver somniferum). It is mainly used as an analgesic (pain medication). There are numerous methods used to administer morphine: oral; sublingual; via inhalation; injection into a muscle, injection under the skin,",54
Betamethasone,https://en.wikipedia.org/wiki/Betamethasone,Betamethasone,"Betamethasone is a steroid medication. It is used for a number of diseases including rheumatic disorders such as rheumatoid arthritis and systemic lupus erythematosus, skin diseases such as dermatitis and psoriasis, allergic conditions such as asthma and angioedema, preterm labor to speed the development of the baby's lungs, Crohn's disease, cancers such as leukemia,",54
Moxifloxacin,https://en.wikipedia.org/wiki/Moxifloxacin,Moxifloxacin,"Moxifloxacin is an antibiotic, used to treat bacterial infections, including pneumonia, conjunctivitis, endocarditis, tuberculosis, and sinusitis. It can be given by mouth, by injection into a vein, and as an eye drop.Common side effects include diarrhea, dizziness, and headache. Severe side effects may include spontaneous tendon ruptures, nerve damage, and worsening of myasthenia gravis.",54
