code,source,title,definition,len
BD41,http://id.who.int/icd/entity/75447191,Non-atherosclerotic chronic arterial occlusive disease,"A heterogeneous group of disorders which may present with symptoms suggestive of atherosclerotic peripheral arterial disease (e.g. intermittent claudication) but in which arterial or arteriolar occlusion is due to other causes such as fibromuscular dysplasia, thromboarteritis obliterans and calcific arteriolopathy.",40
1A62,http://id.who.int/icd/entity/854229089,Late syphilis,"A disease caused by an infection with the gram-negative bacteria Treponema pallidum pallidum. This disease is characterized by gummas, neurological abnormalities, or cardiac abnormalities. Clinical signs normally manifest approximately 3-15 years after initial infection. Transmission is commonly by sexual contact.",40
9B77,http://id.who.int/icd/entity/945788847,Eales disease,"Eales disease is a retinal vasculopathy that presents as an inflammatory stage with retinal periphlebitis affecting especially peripheral retina, then an ischemic stage with sclerosis of retinal veins, and finally a proliferative stage characterized by neovascularization, hemorrhage and retinal detachment.",40
DD93,http://id.who.int/icd/entity/994179294,"Functional digestive disorders of infants, toddlers or children","This group incorporates functional gastrointestinal disorders in infants and toddlers and disorders diagnosed more often in school-aged children and adolescents. These disorders include a variable combination of often age-dependent, chronic or recurrent symptoms not explained by structural or biochemical abnormalities.",40
ME64,http://id.who.int/icd/entity/1119526295,Non-specific cutaneous vascular signs,"Changes perceptible in the skin as a result of alterations in blood composition, blood flow or blood vessel integrity. They may be due to local factors or may indicate underlying disorders such as anaemia, hypovolaemia, fever, hypoxia or defective clotting.",40
MG40,http://id.who.int/icd/entity/1164022950,Shock,"Shock is a life-threatening medical condition that occurs due to inadequate substrate for aerobic cellular respiration. In the early stages this is generally an inadequate tissue level of oxygen. Shock, not elsewhere classified is a shock that isn't classified elsewhere.",40
BB82,http://id.who.int/icd/entity/259064684,Tricuspid valve stenosis with insufficiency,"This is a valvular heart disease which results in the narrowing of the orifice of the tricuspid valve of the heart. It is a relatively rare condition that causes stenosis- increased resistance to blood flow through the valve, with regurgitation.",40
7A82,http://id.who.int/icd/entity/1009451323,Sleep-related leg cramps,"Leg cramps are painful contractions of muscles of the leg or foot with resultant tightness or hardness. They occur most frequently at night, waking the patient from sleep and are generally helped by stretching the affected muscle, often by standing.",40
MD93,http://id.who.int/icd/entity/968461848,Dysphagia,Difficulty in swallowing which may result from neuromuscular disorder or mechanical obstruction. Dysphagia is classified into two distinct types: oropharyngeal dysphagia due to malfunction of the pharynx and upper oesophageal sphincter; and oesophageal dysphagia due to malfunction of the oesophagus.,40
KB61,http://id.who.int/icd/entity/516869589,Transitory neonatal disorders of calcium or magnesium metabolism,A group of pediatric conditions in which there is a temporary disorder in a newborn associated with abnormal chemical reactions in the body disrupting the normal processes of enzyme catalyzed reactions to utilize calcium and magnesium for other body functions.,40
2C30,http://id.who.int/icd/entity/488336723,Melanoma of skin,"A primary melanoma arising from atypical melanocytes in the skin. Precursor lesions include acquired and congenital melanocytic nevi, and dysplastic nevi. Several histologic variants have been recognized, including superficial spreading melanoma, acral lentiginous melanoma, nodular melanoma, and lentigo maligna melanoma.",40
1B98,http://id.who.int/icd/entity/2003001085,Cat-scratch disease,"A disease commonly caused by an infection with the gram-negative bacteria Bartonella henselae. This disease is characterized by regional lymphadenopathy, or fever. Transmission is commonly from the scratch or bite of a cat infested with fleas infected with Bartonella henselae.",40
ME03,http://id.who.int/icd/entity/48769702,Abnormal bowel sounds,"Bowel sounds are caused by the products of digestion as they move through the lower gastrointestinal tract, usually heard on auscultation. Abnormal bowel sounds are reduced or increased bowel sounds which provide valuable information about the disorders of bowel movement.",40
LB95,http://id.who.int/icd/entity/88577362,Patella aplasia or hypoplasia,Isolated patella aplasia-hypoplasia is an extremely rare genetic condition characterized by congenital absence or marked reduction of the patellar bone. This condition may present with discomfort or abnormal gait. Confirmation is through verification of the reduced or absent patella by imaging,41
QA70,http://id.who.int/icd/entity/514851173,Overdose of substance without injury or harm,"Overdose of a substance occurs when a patient is given more of a prescribed drug or other substance than is intended. Can be the result of inaccurate measurement of drug, including oral administration. No injury or harm occurred as a result.",41
XE71D,http://id.who.int/icd/entity/1386734179,Pedal cycle as mode of transport of person injured in transport related event,A pedal-cycle is any land transport vehicle propelled by the muscular energy of the person(s) on that vehicle usually by means of a pedal system but sometimes by lever(s) or handle(s). Includes vehicles with two wheels (the usual number) or more.,41
FB81,http://id.who.int/icd/entity/536467755,Osteonecrosis,"Osteonecrosis is the medical term for death of bone tissue that occurs when the supply of blood to the bone is cut off for some reason. Doctors sometimes refer to the condition as avascular necrosis, aseptic necrosis or ischemic bone necrosis",41
BC62,http://id.who.int/icd/entity/109261437,Accessory pathway,"An additional electrical connection which typically bypasses the AV node, typically inserting directly into atrial and ventricular myocardium, but may also connect to the specialised conduction system (e.g., the bundle of His, right or left bundles, or one of the fascicles).",41
7A87,http://id.who.int/icd/entity/2113831613,Sleep-related movement disorder due to a medical conditoin,"Sleep-related movement disorders are known to occur secondary to various medical conditions such as iron deficiency, pregnancy, end-stage renal disease, and neuropathy. These usually occur later in the life and in the absence of a family history of Sleep-related movement disorder.",41
8D65,http://id.who.int/icd/entity/501432887,Cerebrospinal fluid fistula,"Cerebrospinal fluid fistula is a condition in which the cerebrospinal fluid (CSF) held in and around the human brain and spinal cord leaks out of the surrounding protective sac, the dura, for no apparent reason or due to several pathological processes.",41
5A04,http://id.who.int/icd/entity/922786718,Hypersecretion of calcitonin,"This is the process of elaborating, releasing, and oozing a 32-amino acid linear polypeptide hormone that is produced in humans primarily by the parafollicular cells (also known as C-cells) of the thyroid, and in many other animals in the ultimobranchial body.",41
XE1PH,http://id.who.int/icd/entity/422450595,Heavy goods vehicle as mode of transport of person injured in transport related event,"A heavy goods vehicle is a motor vehicle designed primarily for carrying property on roads, meeting local criteria for classification as a heavy goods vehicle in terms of curbside weight (usually above 3500 kg), and usually requiring a special driver's licence.",41
1F01,http://id.who.int/icd/entity/1883970802,Roseola infantum,"A disease caused by an infection with roseolovirus (human herpesvirus type 6 or 7). This disease is characterized by acute fever, followed by macular or maculopapular exanthem in some individuals. Transmission is by inhalation of infected respiratory secretions or direct contact.",41
5A60,http://id.who.int/icd/entity/1950330641,Hyperfunction of pituitary gland,"A disease characterized by hypersecretion of adenohypophyseal hormones such as growth hormone, pralactin, thyrotopin, luteinising hormone, follicle stimulating hormone or adrenocorticotropic hormone.

Clinical status with excessive production of one or more pituitary hormones, which is mostly caused by hormone-producing pituitary adenomas.",41
DB92,http://id.who.int/icd/entity/1912806631,Non-alcoholic fatty liver disease,"NAFLD is characterized by fatty liver related to insulin resistance in the absence of significant alcohol consumption. It embraces a pathological spectrum from simple steatosis to steatohepatitis. 10-20% have steatohepatitis (non-alcoholic steatohepatitis: NASH), which can progress to cirrhosis and hepatocellular carcinoma.",41
MD94,http://id.who.int/icd/entity/1896266034,Halitosis,"Halitosis is an oral health condition in which one's mouth emits a foul odour. There are many causes of halitosis such as poor oral hygiene, tobacco and or alcohol, and possibly a medical condition such as respiratory and digestive tract disorders.",41
MD92,http://id.who.int/icd/entity/869622187,Dyspepsia,"A condition characterized by upper abdominal symptoms that suggest indigestion (painful, difficult, or disturbed digestion), which may include pain or discomfort of upper abdomen, bloating, feeling of fullness with very little intake of food, nausea and vomiting, heartburn, loss of appetite.",41
CA05,http://id.who.int/icd/entity/2087406945,Acute laryngitis or tracheitis,"Acute laryngitis and tracheitis are defined respectively as acute inflammation of larynx and trachea, with local findings of erythema, and edema of laryngeal and tracheal mucosa. Acute laryngitis and tracheitis are induced by upper respiratory tract viral infections or voice abuse.",41
CA40,http://id.who.int/icd/entity/142052508,Pneumonia,"A disease of the lungs, frequently but not always caused by an infection with bacteria, virus, fungus, or parasite. This disease is characterized by fever, chills, cough with sputum production, chest pain and shortness of breath. Confirmation is by chest x-ray.",41
JA04,http://id.who.int/icd/entity/1313043847,Blighted ovum or nonhydatidiform mole,"A condition caused by genetic abnormality, abnormal cell division, or poor quality ovum or sperm. This condition is characterized by a failed pregnancy, implantation of a fertilized egg without development into an embryo, haemorrhage into the decidua, and adjacent tissue necrosis.",41
9D56,http://id.who.int/icd/entity/920412840,Visual release hallucinations,"Charles Bonnet syndrome, also called visual release hallucinations, refers to the experience of complex visual hallucinations in a person who has experienced partial or complete loss of vision. Hallucinations are exclusively visual, usually temporary, and unrelated to mental and behavioural disorders.",41
EH65,http://id.who.int/icd/entity/516577496,DRESS syndrome,"DRESS syndrome (Drug Rash with Eosinophilia and Systemic Symptoms) is a hypersensitivity reaction characterized by a generalized skin rash, fever, eosinophilia, lymphocytosis and visceral involvement (hepatitis, nephritis, pneumonitis, pericarditis and myocarditis) and, in some patients, reactivation of human herpes virus 6.",41
NF01,http://id.who.int/icd/entity/1699744436,Effects of heat,"Adverse effects resulting from a failure to maintain normal body core temperature on exposure to excessive heat. Vigorous exercise, insulation by clothing (e.g. protective clothing) or an inability to sweat normally (e.g. genetic hypohidrosis or autonomic neuropathy) may be contributory factors.",41
MD31,http://id.who.int/icd/entity/317852053,Pleurisy,"Pleurisy or Pleuritis is the medical term for inflammation of the pleura. The most common cause of pleuritis is infection, but it can also be caused by lupus, rheumatoid arthritis, and certain medicines. Pleurisy or pleuritis usually accumulates exudative pleural effusions.",41
MF84,http://id.who.int/icd/entity/1359757645,Pauci-immune proliferative glomerulonephritis,A focal and segmental necrotising glomerulonephritis with no immune deposits (“pauci-immune:”). Typical of glomerular involvement in anti-neutrophil cytoplasmic antibody (ANCA) mediated vasculitis – microscopic polyangiitis and Wegeners granulomatosis. Most but not all patients have circulation ANCA when there is active disease.,41
DB61,http://id.who.int/icd/entity/287994615,Perianal venous thrombosis,"Extremely painful cherry like lesions under the perianal skin containing clotted blood have been attributed to rupture of a blood vessel with haematoma. However, histology confirmed that these lesions are thrombi lying within the thin-walled vessels of the external anal plexus.",41
KD3B,http://id.who.int/icd/entity/505744734,"Foetal death, cause not specified","Foetal death refers to the sudden intrauterine death of a foetus at any point in time during the pregnancy. If the foetal death has occurred in the last half of the pregnancy, it can also be referred to as a stillbirth.",41
DD54,http://id.who.int/icd/entity/1798345467,Paraumbilical hernia,Paraumbilical or periumbilical hernias occur next to and supra-umbilical occur just above the navel. Paraumbilical hernias are large abdominal defects through the linea alba in the region of the umbilicus and are usually related to diastasis of the rectus abdominis muscles.,41
EC31,http://id.who.int/icd/entity/1501260457,Junctional epidermolysis bullosa,Junctional (lucidolytic) epidermolysis bullosa is due to defects at the level of the lamina lucida of the epidermal basement membrane. The generalised severe form (Herlitz) is associated with widespread mucosal involvement of internal organs and has a high mortality in infancy.,41
KA8B,http://id.who.int/icd/entity/1148519290,Anaemia of prematurity,A pediatric condition characterized by a decrease in number of red blood cells (RBCs) or less than the normal quantity of hemoglobin in the blood of a newborn associated with the child being born prior to completing 37 weeks of gestation.,41
MB29,http://id.who.int/icd/entity/461601738,Symptoms or signs involving eating and related behaviour,"Symptoms and signs related to disturbances in the regulation or form of eating behaviour that are not developmentally appropriate or culturally sanctioned, including avoidant or restrictive eating, binge eating, decreased appetite, eating of non-nutritive substances, increased appetite, purging behaviour, and rumination-regurgitation.",41
JB60,http://id.who.int/icd/entity/1151689960,Obstetric death of unspecified cause,"A condition characterized by maternal death during pregnancy or within 42 days following delivery. This death may be associated with physiological, obstetrical, or other changes or is provoked by interventions used during pregnancy, childbirth, or puerperium, but has no specified cause.",41
KA8C,http://id.who.int/icd/entity/557764336,Congenital hypoplastic anaemia,A pediatric condition characterized by a decreased number of red blood cells (RBCs) or lower than the normal levels of hemoglobin in the blood of a newborn present at birth due to loss of blood from the circulatory system of the fetus.,42
MG43,http://id.who.int/icd/entity/1167224858,Symptoms and signs concerning food and fluid intake,"Symptoms and signs concerning food and fluid intake include anorexia, polydipsia, polyphagia, feeding difficulties and mismanagement, abnormal weight loss, abnormal weight gain, insufficient intake of food and water due to self neglect and other symptoms and signs concerning food and fluid intake.",42
QE92,http://id.who.int/icd/entity/456193180,Altered pattern of family relationships in childhood,"Departure of a family member or arrival of a new person into a family resulting in adverse change in child's relationships. May include new relationship or marriage by a parent, death or illness of a parent, illness or birth of a sibling.",42
LA83,http://id.who.int/icd/entity/1576694141,Right isomerism,"A congenital cardiovascular malformation that is a variant of heterotaxy syndrome in which some paired structures on opposite sides of the left-right axis of the body are symmetrical mirror images of each other, and have the morphology of the normal right-sided structures.",42
GC02,http://id.who.int/icd/entity/1092991948,Urethritis and urethral syndrome,"A condition of the urethra, caused by non-infectious factors such as trauma, allergies, anatomical malformations, or scarring and adhesions following a medical intervention. This condition is characterized by inflammation of the urethra, chronic recurrent urinary tract infections without bacterial growth, and pyuria.",42
4B23,http://id.who.int/icd/entity/180703474,Immune reconstitution inflammatory syndrome,"This is a condition seen in some cases of AIDS or immunosuppression, in which the immune system begins to recover, but then responds to a previously acquired opportunistic infection with an overwhelming inflammatory response that paradoxically makes the symptoms of infection worse.",42
KB25,http://id.who.int/icd/entity/2040953952,Neonatal tracheitis,"A disease of the trachea in neonates, caused by an infection with a bacterial, viral, or fungal source. This disease is characterized by stridor, or increased respiratory effort. Transmission is commonly by inhalation of the infectious agent. Confirmation is by direct laryngoscopy.",42
BB74,http://id.who.int/icd/entity/499832858,Aortic valvar prolapse,A congenital cardiovascular malformation of the aortic valve in which part or all of one or more of the aortic valve leaflets is on the ventricular side of the plane of the inferior aspect of the attachments of the aortic valve leaflets.,42
LB75,http://id.who.int/icd/entity/598200019,Brachydactyly,"Brachydactyly ('short digits') is a general term that refers to disproportionately short fingers and toes, and forms part of the group of limb malformations characterized by bone dysostosis. The various types of isolated brachydactyly are rare, except for types A3 and D.",42
ED02,http://id.who.int/icd/entity/347603209,Painful bruising syndrome,"Painful bruising syndrome (Gardner-Diamond syndrome, autoerythrocyte sensitization, psychogenic purpura) is a rare and poorly understood clinical presentation of unexplained painful ecchymoses, mostly on the extremities and/or the face. It has been associated with emotional stress or one or more concomitant mental illnesses.",42
XE6UN,http://id.who.int/icd/entity/457980430,Light goods vehicle as counterpart in land transport crash,"A light goods vehicle is a four- or six-wheeled motor vehicle designed primarily for carrying property on roads, weighing less than the local limit for classification as a heavy goods vehicle (usually less 3500 kg), and not requiring a special driver's licence.",42
1B70,http://id.who.int/icd/entity/2144774073,"Bacterial cellulitis, erysipelas or lymphangitis","Diffuse, spreading infections of skin and soft tissues by a range of bacterial organisms, most commonly beta-haemolytic streptococci and Staphylococcus aureus. The clinical presentation is dependent not only on the organism but also on the manner in which it invades the tissues.",42
2B30,http://id.who.int/icd/entity/1528863768,Hodgkin lymphoma,"Malignant lymphomas, previously known as Hodgkin's disease, characterized by the presence of large tumor cells in an abundant admixture of nonneoplastic cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes.",42
MC41,http://id.who.int/icd/entity/1089305710,Tinnitus,"A nonspecific symptom of hearing disorder characterized by the sensation of buzzing, ringing, clicking, pulsations, and other noises in the ear in the absence of appropriate corresponding external stimuli and in the absence os what the examiner can hear with a stethoscope.",42
2A44,http://id.who.int/icd/entity/855969668,"Myeloproliferative and myelodysplastic disease, unclassifiable","This entity includes cases that have clinical, laboratory, and morphologic features that support the diagnosis of both a myelodysplastic syndrome and a myeloproliferative neoplasm, but do not meet the criteria for any of the other entities included in the myelodysplastic/myeloproliferative neoplasm category.",42
8B20,http://id.who.int/icd/entity/1442995018,Stroke not known if ischaemic or haemorrhagic,"Fulfills criteria for stroke in that acute symptoms of focal brain injury that have lasted 24 hours or more (or led to death before 24 hours), but subtype of stroke (ischemic or hemorrhagic) has not been determined by neuroimaging or other techniques.",42
1D64,http://id.who.int/icd/entity/1840423014,Middle East respiratory syndrome,"A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterized by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material.",42
BA82,http://id.who.int/icd/entity/498053587,Coronary artery dissection,"Coronary artery dissection results from a tear in the inner layer of the coronary artery, the tunica intima. This allows blood to penetrate and cause an intramural hematoma in the central layer, the tunica media, and restriction in the size of lumen.",42
EH90,http://id.who.int/icd/entity/455330172,Pressure ulceration,"Pressure ulcers result from localized injury and ischaemic necrosis of skin and underlying tissues due to prolonged pressure, or pressure in combination with shear; bony prominences of the body are the most frequently affected sites; immobility and debility are major contributing factors.",42
3B50,http://id.who.int/icd/entity/1502898025,Inherited fibrinolytic defects,A disease caused by genetically inherited mutations affecting the fibrinolysis system which prevents blood clots from growing and becoming problematic. This disease is characterised by defects in the fibrinolysis system leading to coagulation of the blood. This disease may present with thrombosis.,42
ME01,http://id.who.int/icd/entity/898362405,Abdominal distension,"This is a condition in which the abdomen feels full and tight because of swelling of the abdomen, usually due to an increased amount of intestinal gas, but occurs sometimes when fluid, substances or mass are accumulating or expanding in the abdomen.",42
1C15,http://id.who.int/icd/entity/2085616610,Tetanus neonatorum,"A disease affecting neonates, caused by an infection with the gram-positive bacteria Clostridium tetani. This disease is characterized by systemic muscle spasms that arise within the first few days after delivery. Transmission is commonly by direct contact or lack of maternal immunity.",42
CA0J,http://id.who.int/icd/entity/137754914,Nasal polyp,"Nasal polyp is an inflammatory and proliferating mass arising from the epithelial linings of nasal cavity and paranasal sinuses. In general, nasal polyp appears to be grayish white, smoothly surfaced, and glutinous and agar-like mass. The pathogenesis is thought to be multifactorial.",42
JA25,http://id.who.int/icd/entity/1759760659,Eclampsia,"Any condition affecting pregnant females, characterized by seizure or convulsions newly arising in pregnancy. The condition is often associated with pregnancy-induced hypertension, convulsions, seizure, anxiety, epigastric pain, severe headache, blurred vision, proteinuria, and oedema that may occur during pregnancy, labour, or the puerperium.",43
CB41,http://id.who.int/icd/entity/370028006,Respiratory failure,"Respiratory failure is a life-threatening impairment of oxygenation or CO2 elimination. Respiratory failure may occur because of impaired gas exchange, decreased ventilation, or both. The level of oxygen in the blood becomes dangerously low or the level of carbon dioxide becomes dangerously high.",43
1F02,http://id.who.int/icd/entity/410022648,Rubella,"A disease caused by an infection with the rubella virus. This disease commonly presents with lymphadenopathy, or an exanthem that starts on the face and spreads to the limbs and trunk. Transmission is commonly by inhalation of infected respiratory secretions, or direct contact.",43
8C77,http://id.who.int/icd/entity/1877039847,Ocular myopathy,"Slowly progressive weakness of ocular muscles, usually characterized by decreased mobility of the eye and drooping of the upper lid. The disorder may be unilateral or bilateral, and may be caused by central or peripheral nervous system lesion or by a neuromuscular disease.",43
KA88,http://id.who.int/icd/entity/742410330,Disseminated intravascular coagulation of foetus or newborn,"Neonatal purpura fulminans is a potentially lethal disorder characterised by progressive haemorrhagic necrosis of the skin associated with cutaneous vascular thrombosis. It is usually due to a genetically transmitted thrombophilic disorder: most commonly homozygous deficiency of protein C or, less frequently, protein S.",43
1B93,http://id.who.int/icd/entity/1596449540,Plague,"A disease caused by an infection with the gram-negative bacteria Yersinia pestis. This disease presents with symptoms depending on the site of infection, and may be fatal. Transmission is through the bite of an infected flea, by direct contact, or by droplet transmission.",43
KA87,http://id.who.int/icd/entity/628615515,Neonatal hyperbilirubinaemia,"A condition characterized as an increased level of bilirubin above 85 umol/l (5 mg/dL) which manifests as yellowing of the eyes, skin, and other tissues of a newborn due to excessive break-down of red blood cells for any other reason not classified elsewhere.",43
8E22,http://id.who.int/icd/entity/1049761831,Minimally conscious state,"Subacute or chronic state of severely disturbed consciousness in which patients show minimal yet definite signs of consciousness, such as visual pursuit or command following, occurring after a severe brain injury. These patients do not show functional communication or functional use of objects.",43
XE42A,http://id.who.int/icd/entity/1594880101,Vehicle driver injured in transport related event,"A driver is an occupant of a transport vehicle who is operating or intending to operate it. Includes rider operating a motorcycle or bicycle, and a rider directing or attempting to direct a ridden animal. An autonomous or remotely-controlled vehicle has no driver.",43
9A73,http://id.who.int/icd/entity/1261495652,Exposure keratitis,"This is an exposure condition in which the eye's cornea, the front part of the eye, becomes inflamed. The condition is often marked by moderate to intense pain and usually involves impaired eyesight. May cause feelings of scratching each time individual blinks eye.",43
1B54,http://id.who.int/icd/entity/1331660907,Meningitis due to Staphylococcus,"A disease of the meninges, caused by an infection with the gram-positive bacteria Staphylococcus. This disease commonly presents with acute inflammation of the meninges causing headache, fever, stiff neck, or with neurological deficits. Confirmation is by identification of Staphylococcus in the cerebrospinal fluid.",43
XE9JB,http://id.who.int/icd/entity/235303267,Light goods vehicle as mode of transport of person injured in transport related event,"A light goods vehicle is a four- or six-wheeled motor vehicle designed primarily for carrying property on roads, weighing less than the local limit for classification as a heavy goods vehicle (usually less than 3500 kg), and not requiring a special driver's licence.",43
1C10,http://id.who.int/icd/entity/1697630330,Actinomycosis,"A disease commonly caused by an infection with the gram-positive bacteria Actinomyces. This disease is characterized by painful abscesses in the mouth, lungs, and gastrointestinal tract. Transmission is by endogenous infection. Confirmation is by identification of Actinomyces in infected tissue or fluid samples.",43
9B73,http://id.who.int/icd/entity/357208479,Retinal detachments or breaks,"Retinal breaks are full thickness openings in the neurosensory retina that can be in the form of a hole, a tear or a retinal dialysis. Retinal detachment is a condition in which the retina peels away from its underlying layer of support tissue.",43
5B00,http://id.who.int/icd/entity/548357900,Autoimmune polyendocrinopathy,"This a subtype of autoimmune polyendocrine syndrome, in which multiple endocrine glands dysfunction as a result of autoimmunity. It is a genetic disorder attributed to a defect in the AIRE gene that normally confers immune tolerance. It is inherited in a recessive fashion.",43
LB76,http://id.who.int/icd/entity/12402839,Triphalangeal thumb,"A condition caused by failure of the thumb to correctly develop during the antenatal period. This condition is characterized by a long, finger-like thumb with three phalanges instead of two. Isolated triphalangeal thumbs may be associated with genetic abnormality in the 7q36 region.",43
9D44,http://id.who.int/icd/entity/2028524981,Impairment of colour vision,"Colour vision refers to the ability to distinguish colour differences. True colour “blindness” is extremely rare. Most colour vision deficiencies are minor, and congenital, with X-linked recessive inheritance (more prevalent among men). Some drugs and optic neuritis may also cause colour vision deficiencies.",43
CB05,http://id.who.int/icd/entity/1854675041,Interstitial lung diseases associated with systemic diseases,"This refers to a group of lung diseases affecting the interstitium (the tissue and space around the air sacs of the lungs). This diagnosis is associated with diseases that affect a number of organs and tissues, or affects the body as a whole.",43
3B51,http://id.who.int/icd/entity/1845970455,Acquired fibrinolytic defects,"A disease caused by determinates arising after birth, affecting the fibrinolysis system which prevents blood clots from growing and becoming problematic. This disease is characterised by defects in the Fibrinolysis system leading to coagulation of the blood. This disease may present with thrombosis.",43
CB24,http://id.who.int/icd/entity/693433074,Chylous effusion,"A chylothorax (chylous effusion) signifies leakage of chyle from the thoracic duct. A pleural fluid triglyceride concentration of more than 110 mg per deciliter signifies a high likelihood of chylothorax, whereas a triglyceride concentration below 50 mg per deciliter makes chylothorax highly unlikely.",43
8A84,http://id.who.int/icd/entity/296971178,Secondary headache,Chronic secondary headache is defined as headache that has underlying causes occurring on at least 50% of the days during at least 3 months The duration of pain per day is at least 4 hours (untreated) or several shorter attacks per day occur.,43
GB56,http://id.who.int/icd/entity/1656637330,Obstructive or reflux nephropathy,Distention of the pelvis and calices of the kidney with urine as a result of obstruction of the ureter or as a result of a vesicoureteral or vesicoureterorenal reflux of urine. Diffuse or focal cortical scarring and chronic tubulointerstitial nephritis may be present.,43
DB50,http://id.who.int/icd/entity/801035247,Fissure or fistula of anal regions,Anal fissure and fistula are the common disorders of anal regions. An anal fissure is a superficial linear tear in the anoderm that is distal to the dentate line. An anal fistula is an inflammatory tract between the anal canal and the skin.,43
EE00,http://id.who.int/icd/entity/1416949107,Hyperhidrosis,"Excessive sweating. In the localized type, the most frequent sites are the palms, soles, axillae, inguinal folds, and the perineal area. Emotional factors may play a part. Generalized hyperhidrosis may be induced by a hot, humid environment, by fever, or by vigorous exercise.",43
